name,description
Первые блюда,Супы, борщи, бульоны и другие блюда на основе жидкости
Вторые блюда,Основные блюда с гарниром или без
Салаты,Холодные и теплые салаты
Закуски,Легкие закуски и холодные блюда
Десерты,Сладкие блюда, выпечка, торты и пирожные
Завтраки,Блюда для утреннего приема пищи
Напитки,Безалкогольные и алкогольные напитки
Вегетарианские,Блюда без мяса и рыбы
Мясные,Блюда с мясом как основным ингредиентом
Рыбные,Блюда с рыбой и морепродуктами
Выпечка,Хлеб, булочки, пироги и другая выпечка
Быстрые рецепты,Блюда с минимальным временем приготовления
Праздничные блюда,Особые блюда для праздничного стола
