recipe_name,category_name
Борщ классический,Первые блюда
Борщ классический,Мясные
Оливье,Салаты
Оливье,Праздничные блюда
Цезарь с курицей,Салаты
Цезарь с курицей,Мясные
Паста Карбонара,Вторые блюда
Паста Карбонара,Мясные
Пельмени домашние,Вторые блюда
Пельмени домашние,Мясные
Плов с говядиной,Вторые блюда
Плов с говядиной,Мясные
Блины,Завтраки
Блины,Десерты
Шарлотка с яблоками,Десерты
Шарлотка с яблоками,Выпечка
Греческий салат,Салаты
Греческий салат,Вегетарианские
Картофельное пюре,Вторые блюда
Картофельное пюре,Вегетарианские
Котлеты куриные,Вторые блюда
Котлеты куриные,Мясные
Суп-пюре из тыквы,Первые блюда
Суп-пюре из тыквы,Вегетарианские
Рататуй,Вторые блюда
Рататуй,Вегетарианские
Лазанья,Вторые блюда
Лазанья,Мясные
Лазанья,Праздничные блюда
Куриный суп с лапшой,Первые блюда
Куриный суп с лапшой,Мясные
Гуляш из говядины,Вторые блюда
Гуляш из говядины,Мясные
Творожная запеканка,Десерты
Творожная запеканка,Завтраки
Винегрет,Салаты
Винегрет,Вегетарианские
Фаршированные перцы,Вторые блюда
Фаршированные перцы,Мясные
Драники,Вторые блюда
Драники,Быстрые рецепты
Драники,Вегетарианские
