ingredient_name_1,ingredient_name_2,similarity_score
Куриное филе,Индейка,0.9
Куриное филе,Курица (целая),0.8
Говядина,Телятина,0.85
Говядина,Свинина,0.7
Свинина,Говядина,0.7
Фарш говяжий,Фарш свиной,0.75
Фарш говяжий,Фарш смешанный,0.9
Фарш свиной,Фарш смешанный,0.9
Фарш куриный,Куриное филе,0.8
Лосось,Форель,0.85
Треска,Минтай,0.8
Треска,Судак,0.75
Лук репчатый,Лук зеленый,0.6
Картофель,Батат,0.65
Помидоры,Помидоры консервированные,0.8
Огурцы,Огурцы соленые,0.5
Перец болгарский,Перец консервированный,0.75
Грибы шампиньоны,Грибы вешенки,0.85
Грибы шампиньоны,Грибы белые,0.8
Рис,Булгур,0.65
Рис,Кускус,0.6
Гречка,Булгур,0.6
Макароны,Спагетти,0.95
Мука пшеничная,Мука цельнозерновая,0.7
Сахар,Сахар коричневый,0.9
Сахар,Мед,0.6
Сливки 10%,Сливки 20%,0.8
Сливки 20%,Сливки 33%,0.8
Сметана 10%,Сметана 15%,0.9
Сметана 15%,Сметана 20%,0.9
Творог 5%,Творог 9%,0.9
Сыр твердый,Сыр пармезан,0.7
Сыр моцарелла,Сыр сулугуни,0.7
Масло сливочное,Маргарин,0.7
Масло растительное,Масло оливковое,0.8
Масло оливковое,Масло растительное,0.8
Яблоки,Груши,0.7
Вишня,Черешня,0.8
Клубника,Малина,0.7
Смородина красная,Смородина черная,0.8
Орехи грецкие,Орехи фундук,0.7
Орехи миндаль,Орехи фундук,0.7
Семечки подсолнечника,Семечки тыквенные,0.8
