name,default_unit,calories,default_expiration_days
Куриное филе,грамм,165,3
Говядина,грамм,250,3
Свинина,грамм,242,3
Баранина,грамм,294,3
Телятина,грамм,172,3
Фарш говяжий,грамм,254,2
Фарш свиной,грамм,263,2
Фарш куриный,грамм,143,2
Фарш смешанный,грамм,230,2
Колбаса вареная,грамм,257,5
Колбаса копченая,грамм,380,14
Сосиски,грамм,266,5
Бекон,грамм,548,7
Ветчина,грамм,270,7
Индейка,грамм,135,3
Утка,грамм,337,3
Курица (целая),грамм,190,3
Куриные бедра,грамм,187,3
Куриные крылья,грамм,222,3
Куриная голень,грамм,184,3
Печень куриная,грамм,136,2
Печень говяжья,грамм,127,2
Карп,грамм,127,1
Лосось,грамм,208,1
Треска,грамм,78,1
Минтай,грамм,72,1
Окунь морской,грамм,97,1
Форель,грамм,168,1
Судак,грамм,84,1
Щука,грамм,84,1
Скумбрия,грамм,191,1
Тунец,грамм,144,1
Креветки,грамм,95,1
Кальмары,грамм,92,1
Мидии,грамм,95,1
Крабовые палочки,грамм,73,7
Рыбные консервы,грамм,180,365
Картофель,грамм,77,30
Морковь,грамм,41,30
Лук репчатый,грамм,40,30
Лук зеленый,грамм,21,5
Чеснок,грамм,149,60
Помидоры,грамм,18,7
Огурцы,грамм,15,7
Перец болгарский,грамм,27,10
Кабачки,грамм,24,10
Баклажаны,грамм,24,7
Тыква,грамм,28,60
Капуста белокочанная,грамм,28,30
Капуста цветная,грамм,30,7
Капуста брокколи,грамм,34,7
Капуста пекинская,грамм,12,7
Салат листовой,грамм,14,3
Руккола,грамм,25,3
Шпинат,грамм,23,3
Редис,грамм,16,7
Редька,грамм,21,30
Свекла,грамм,43,60
Грибы шампиньоны,грамм,27,5
Грибы вешенки,грамм,38,5
Грибы белые,грамм,34,3
Грибы сушеные,грамм,281,365
Зелень укроп,грамм,43,5
Зелень петрушка,грамм,49,5
Зелень кинза,грамм,23,5
Зелень базилик,грамм,27,5
Зелень тимьян,грамм,101,5
Зелень розмарин,грамм,131,5
Зелень мята,грамм,44,5
Сельдерей стебли,грамм,16,10
Сельдерей корень,грамм,42,14
Рис,грамм,130,360
Гречка,грамм,343,360
Макароны,грамм,371,720
Спагетти,грамм,371,720
Перловая крупа,грамм,324,720
Овсяная крупа,грамм,342,720
Овсяные хлопья,грамм,366,180
Пшено,грамм,348,360
Кукурузная крупа,грамм,337,360
Булгур,грамм,342,360
Киноа,грамм,368,360
Кускус,грамм,376,360
