recipe_name,ingredient_name,quantity,unit,is_optional
Борщ классический,Говядина,500,грамм,false
Борщ классический,Свекла,300,грамм,false
Борщ классический,Морковь,100,грамм,false
Борщ классический,Лук репчатый,100,грамм,false
Борщ классический,Капуста белокочанная,200,грамм,false
Борщ классический,Картофель,300,грамм,false
Борщ классический,Томатная паста,2,столовая ложка,false
Борщ классический,Чеснок,3,зубчик,false
Борщ классический,Соль,1,чайная ложка,false
Борщ классический,Перец черный,0.5,чайная ложка,false
Борщ классический,Лавровый лист,2,штука,false
Борщ классический,Сметана 15%,2,столовая ложка,true
Борщ классический,Зелень укроп,10,грамм,true
Оливье,Картофель,400,грамм,false
Оливье,Морковь,100,грамм,false
Оливье,Яйца куриные,4,штука,false
Оливье,Колбаса вареная,300,грамм,false
Оливье,Огурцы соленые,200,грамм,false
Оливье,Горошек консервированный,200,грамм,false
Оливье,Лук репчатый,100,грамм,true
Оливье,Майонез,150,грамм,false
Оливье,Соль,1,чайная ложка,false
Оливье,Перец черный,0.5,чайная ложка,true
Цезарь с курицей,Куриное филе,300,грамм,false
Цезарь с курицей,Салат листовой,200,грамм,false
Цезарь с курицей,Помидоры,150,грамм,false
Цезарь с курицей,Хлеб белый,100,грамм,false
Цезарь с курицей,Сыр пармезан,50,грамм,false
Цезарь с курицей,Чеснок,2,зубчик,false
Цезарь с курицей,Майонез,100,грамм,false
Цезарь с курицей,Лимоны,0.5,штука,false
Цезарь с курицей,Соль,0.5,чайная ложка,false
Цезарь с курицей,Перец черный,0.3,чайная ложка,false
Цезарь с курицей,Масло растительное,2,столовая ложка,false
Паста Карбонара,Спагетти,250,грамм,false
Паста Карбонара,Бекон,200,грамм,false
Паста Карбонара,Яйца куриные,3,штука,false
Паста Карбонара,Сыр пармезан,100,грамм,false
Паста Карбонара,Сливки 20%,100,миллилитр,false
Паста Карбонара,Чеснок,2,зубчик,false
Паста Карбонара,Соль,1,чайная ложка,false
Паста Карбонара,Перец черный,1,чайная ложка,false
